,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
36,p_52085487538434e2,New+York,machine+learning+engineer,"Software Engineer, Machine Learning, Planner/Behavior Prediction",Waymo,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=52085487538434e2&fccid=73ceef0a2153d2b8&vjs=3,30+ days ago,NOT_FOUND
41,p_32fbe580cc0f538d,New+York,machine+learning+engineer,Quantitative Researcher in Machine Learning,"Two Sigma Investments, LLC.","New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=32fbe580cc0f538d&fccid=facc18fe475dac15&vjs=3,NOT_FOUND,NOT_FOUND
42,p_9a7e150d373c4951,New+York,machine+learning+engineer,Engineering Manager – Machine Learning Platform,Spotify,"New York, NY 10011 (Chelsea area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=9a7e150d373c4951&fccid=fe404d18bb9eef1e&vjs=3,NOT_FOUND,NOT_FOUND
43,p_3086720750fe4064,New+York,machine+learning+engineer,Deep Learning / CV Engineer,Caper,"Brooklyn, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=3086720750fe4064&fccid=cf474ad47b90ea94&vjs=3,NOT_FOUND,NOT_FOUND
44,p_42756199a31c42ec,New+York,machine+learning+engineer,Senior Machine Learning Engineer – Free Mission,Spotify,"New York, NY 10011 (Chelsea area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=42756199a31c42ec&fccid=fe404d18bb9eef1e&vjs=3,NOT_FOUND,NOT_FOUND
45,p_14aff57819ee3785,New+York,machine+learning+engineer,Software Development Engineer – SageMaker Machine Learning Algorithms,"Amazon.com Services, Inc.","New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=14aff57819ee3785&fccid=fe2d21eef233e94a&vjs=3,NOT_FOUND,NOT_FOUND
46,p_7d4fca86c192478f,New+York,machine+learning+engineer,"Software Development Engineer, AWS Translate Machine Learning","Amazon.com Services, Inc.","New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=7d4fca86c192478f&fccid=fe2d21eef233e94a&vjs=3,NOT_FOUND,NOT_FOUND
47,p_aecc9477fc95ae82,New+York,machine+learning+engineer,Staff Data Scientist - Machine Learning,The Walmart eCommerce Family of Brands,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=aecc9477fc95ae82&fccid=74b890412daca290&vjs=3,NOT_FOUND,NOT_FOUND
48,p_943fbf80ab23f95e,New+York,machine+learning+engineer,Senior Web Engineer – Machine Learning Platform,Spotify,"New York, NY 10011 (Chelsea area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=943fbf80ab23f95e&fccid=fe404d18bb9eef1e&vjs=3,NOT_FOUND,NOT_FOUND
1,p_d1e29f17027c21e1,New+York,machine+learning+engineer,Machine Learning Engineer,7N,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=d1e29f17027c21e1&fccid=050cf6e1fc6835a8&vjs=3,NOT_FOUND,NOT_FOUND
