Completed =>	Tokyo	data+engineer	90	80	14.621431112289429	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	100	90	16.241452932357788	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	110	100	17.904778003692627	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	120	110	19.482118129730225	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	130	120	21.03421711921692	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	140	130	22.70096707344055	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	150	140	24.55684208869934	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	160	150	26.177658081054688	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	170	160	27.839234113693237	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	180	170	29.469682931900024	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	190	180	31.041446924209595	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	200	190	32.85800004005432	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	210	200	34.42713212966919	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	220	210	35.96600794792175	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	230	220	37.524291038513184	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	240	230	39.25459814071655	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	250	240	41.38111710548401	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	260	250	42.982495069503784	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	270	260	44.96594715118408	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	280	270	46.65275692939758	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	290	280	48.339587926864624	file_3  2019-08-31-14:43:31
Completed =>	Tokyo	data+engineer	300	290	49.98532509803772	file_3  2019-08-31-14:43:31
Completed =>	New+York	data+engineer	10	0	2.8843870162963867	file_1  2019-09-05-19:11:36
Completed =>	New+York	machine+learning+engineer	10	0	2.7446670532226562	file_2  2019-09-05-19:11:36
Completed =>	Singapore	data+engineer	10	0	1.896003007888794	file_3  2019-09-05-19:11:36
Completed =>	Singapore	machine+learning+engineer	10	0	1.860619068145752	file_4  2019-09-05-19:11:36
Completed =>	Tokyo	data+engineer	10	0	1.6421759128570557	file_5  2019-09-05-19:11:36
Completed =>	Tokyo	machine+learning+engineer	10	0	1.54783296585083	file_6  2019-09-05-19:11:36
Completed =>	New+York	data+engineer	10	0	2.88240909576416	file_1  2019-09-05-19:13:34
Completed =>	New+York	machine+learning+engineer	10	0	2.709868907928467	file_2  2019-09-05-19:13:34
Completed =>	Singapore	data+engineer	10	0	1.807615041732788	file_3  2019-09-05-19:13:34
Completed =>	Singapore	machine+learning+engineer	10	0	1.8387038707733154	file_4  2019-09-05-19:13:34
Completed =>	Tokyo	data+engineer	10	0	1.774501085281372	file_5  2019-09-05-19:13:34
Completed =>	Tokyo	machine+learning+engineer	10	0	1.5109920501708984	file_6  2019-09-05-19:13:34
Completed =>	New+York	data+engineer	10	0	2.8072328567504883	file_1  2019-09-05-19:15:41
Completed =>	New+York	machine+learning+engineer	10	0	2.7286789417266846	file_2  2019-09-05-19:15:41
Completed =>	Singapore	data+engineer	10	0	1.6815550327301025	file_3  2019-09-05-19:15:41
Completed =>	Singapore	machine+learning+engineer	10	0	1.6483988761901855	file_4  2019-09-05-19:15:41
Completed =>	Tokyo	data+engineer	10	0	1.5782999992370605	file_5  2019-09-05-19:15:41
Completed =>	Tokyo	machine+learning+engineer	10	0	1.572638988494873	file_6  2019-09-05-19:15:41
Completed =>	New+York	data+engineer	10	0	2.9347329139709473	file_1  2019-09-05-19:16:35
Completed =>	New+York	machine+learning+engineer	10	0	3.2965481281280518	file_2  2019-09-05-19:16:35
Completed =>	Singapore	data+engineer	10	0	1.686279058456421	file_3  2019-09-05-19:16:35
Completed =>	Singapore	machine+learning+engineer	10	0	1.6427698135375977	file_4  2019-09-05-19:16:35
Completed =>	Tokyo	data+engineer	10	0	1.5504868030548096	file_5  2019-09-05-19:16:35
Completed =>	Tokyo	machine+learning+engineer	10	0	1.6476211547851562	file_6  2019-09-05-19:16:35
Completed =>	New+York	data+engineer	10	0	3.029778003692627	file_1  2019-09-05-19:21:41
Completed =>	New+York	machine+learning+engineer	10	0	2.7649660110473633	file_2  2019-09-05-19:21:41
Completed =>	San+Francisco	data+engineer	10	0	2.9623639583587646	file_3  2019-09-05-19:21:41
Completed =>	San+Francisco	machine+learning+engineer	10	0	2.8309409618377686	file_4  2019-09-05-19:21:41
Completed =>	Singapore	data+engineer	10	0	1.9062411785125732	file_5  2019-09-05-19:21:41
Completed =>	Singapore	machine+learning+engineer	10	0	2.7771799564361572	file_6  2019-09-05-19:21:41
Completed =>	Tokyo	data+engineer	10	0	2.502600908279419	file_7  2019-09-05-19:21:41
Completed =>	Tokyo	machine+learning+engineer	10	0	1.9742908477783203	file_8  2019-09-05-19:21:41
