index,type,temp_max,temp_min,CET
29,Average:,"24°","14°","2014-08-15 00:00:00.000000"
30,Actual:,"21°","13°","2014-08-16 00:00:00.000000"
31,Average:,"24°","14°","2014-08-16 00:00:00.000000"
32,Actual:,"21°","13°","2014-08-17 00:00:00.000000"
33,Average:,"24°","14°","2014-08-17 00:00:00.000000"
34,Actual:,"21°","14°","2014-08-18 00:00:00.000000"
35,Average:,"24°","14°","2014-08-18 00:00:00.000000"
36,Actual:,"21°","11°","2014-08-19 00:00:00.000000"
37,Average:,"24°","14°","2014-08-19 00:00:00.000000"
38,Actual:,"19°","9°","2014-08-20 00:00:00.000000"
39,Average:,"24°","14°","2014-08-20 00:00:00.000000"
40,Actual:,"19°","8°","2014-08-21 00:00:00.000000"
41,Average:,"23°","14°","2014-08-21 00:00:00.000000"
42,Actual:,"21°","11°","2014-08-22 00:00:00.000000"
43,Average:,"23°","14°","2014-08-22 00:00:00.000000"
44,Actual:,"21°","11°","2014-08-23 00:00:00.000000"
45,Average:,"23°","14°","2014-08-23 00:00:00.000000"
46,Actual:,"18°","9°","2014-08-24 00:00:00.000000"
47,Average:,"23°","13°","2014-08-24 00:00:00.000000"
48,Actual:,"19°","8°","2014-08-25 00:00:00.000000"
49,Average:,"22°","13°","2014-08-25 00:00:00.000000"
50,Actual:,"19°","11°","2014-08-26 00:00:00.000000"
51,Average:,"22°","13°","2014-08-26 00:00:00.000000"
52,Actual:,"21°","6°","2014-08-27 00:00:00.000000"
53,Average:,"21°","13°","2014-08-27 00:00:00.000000"
54,Actual:,"23°","7°","2014-08-28 00:00:00.000000"
55,Average:,"21°","12°","2014-08-28 00:00:00.000000"
56,Actual:,"22°","13°","2014-08-29 00:00:00.000000"
57,Average:,"21°","12°","2014-08-29 00:00:00.000000"
58,Actual:,"22°","13°","2014-08-30 00:00:00.000000"
59,Average:,"21°","12°","2014-08-30 00:00:00.000000"
60,Actual:,"19°","13°","2014-08-31 00:00:00.000000"
61,Average:,"21°","12°","2014-08-31 00:00:00.000000"
0,Actual:,"17°","12°","2014-09-01 00:00:00.000000"
1,Average:,"21°","12°","2014-09-01 00:00:00.000000"
2,Actual:,"20°","14°","2014-09-02 00:00:00.000000"
3,Average:,"21°","12°","2014-09-02 00:00:00.000000"
4,Actual:,"21°","14°","2014-09-03 00:00:00.000000"
5,Average:,"21°","12°","2014-09-03 00:00:00.000000"
6,Actual:,"24°","12°","2014-09-04 00:00:00.000000"
7,Average:,"21°","12°","2014-09-04 00:00:00.000000"
8,Actual:,"26°","15°","2014-09-05 00:00:00.000000"
9,Average:,"21°","12°","2014-09-05 00:00:00.000000"
10,Actual:,"27°","14°","2014-09-06 00:00:00.000000"
11,Average:,"21°","12°","2014-09-06 00:00:00.000000"
12,Actual:,"26°","15°","2014-09-07 00:00:00.000000"
13,Average:,"21°","12°","2014-09-07 00:00:00.000000"
14,Actual:,"23°","16°","2014-09-08 00:00:00.000000"
15,Average:,"20°","11°","2014-09-08 00:00:00.000000"
16,Actual:,"21°","10°","2014-09-09 00:00:00.000000"
17,Average:,"20°","11°","2014-09-09 00:00:00.000000"
18,Actual:,"17°","12°","2014-09-10 00:00:00.000000"
19,Average:,"19°","11°","2014-09-10 00:00:00.000000"
20,Actual:,"17°","11°","2014-09-11 00:00:00.000000"
21,Average:,"19°","11°","2014-09-11 00:00:00.000000"
22,Actual:,"18°","13°","2014-09-12 00:00:00.000000"
23,Average:,"19°","11°","2014-09-12 00:00:00.000000"
24,Actual:,"19°","16°","2014-09-13 00:00:00.000000"
25,Average:,"19°","10°","2014-09-13 00:00:00.000000"
26,Actual:,"20°","15°","2014-09-14 00:00:00.000000"
27,Average:,"18°","10°","2014-09-14 00:00:00.000000"
28,Actual:,"26°","16°","2014-09-15 00:00:00.000000"
29,Average:,"18°","9°","2014-09-15 00:00:00.000000"
30,Actual:,"25°","16°","2014-09-16 00:00:00.000000"
31,Average:,"18°","9°","2014-09-16 00:00:00.000000"
32,Actual:,"24°","14°","2014-09-17 00:00:00.000000"
33,Average:,"18°","9°","2014-09-17 00:00:00.000000"
34,Actual:,"24°","14°","2014-09-18 00:00:00.000000"
35,Average:,"18°","9°","2014-09-18 00:00:00.000000"
36,Actual:,"23°","12°","2014-09-19 00:00:00.000000"
37,Average:,"18°","9°","2014-09-19 00:00:00.000000"
38,Actual:,"21°","13°","2014-09-20 00:00:00.000000"
39,Average:,"18°","9°","2014-09-20 00:00:00.000000"
40,Actual:,"18°","13°","2014-09-21 00:00:00.000000"
41,Average:,"18°","9°","2014-09-21 00:00:00.000000"
42,Actual:,"14°","10°","2014-09-22 00:00:00.000000"
43,Average:,"18°","9°","2014-09-22 00:00:00.000000"
44,Actual:,"15°","8°","2014-09-23 00:00:00.000000"
45,Average:,"18°","9°","2014-09-23 00:00:00.000000"
46,Actual:,"16°","7°","2014-09-24 00:00:00.000000"
47,Average:,"18°","9°","2014-09-24 00:00:00.000000"
48,Actual:,"17°","9°","2014-09-25 00:00:00.000000"
49,Average:,"17°","9°","2014-09-25 00:00:00.000000"
50,Actual:,"17°","12°","2014-09-26 00:00:00.000000"
51,Average:,"17°","9°","2014-09-26 00:00:00.000000"
52,Actual:,"18°","9°","2014-09-27 00:00:00.000000"
53,Average:,"17°","9°","2014-09-27 00:00:00.000000"
54,Actual:,"21°","6°","2014-09-28 00:00:00.000000"
55,Average:,"17°","9°","2014-09-28 00:00:00.000000"
56,Actual:,"24°","11°","2014-09-29 00:00:00.000000"
57,Average:,"17°","9°","2014-09-29 00:00:00.000000"
58,Actual:,"19°","16°","2014-09-30 00:00:00.000000"
59,Average:,"16°","9°","2014-09-30 00:00:00.000000"
0,Actual:,"19°","13°","2014-10-01 00:00:00.000000"
1,Average:,"16°","9°","2014-10-01 00:00:00.000000"
2,Actual:,"21°","11°","2014-10-02 00:00:00.000000"
3,Average:,"16°","9°","2014-10-02 00:00:00.000000"
4,Actual:,"20°","12°","2014-10-03 00:00:00.000000"
5,Average:,"16°","8°","2014-10-03 00:00:00.000000"
6,Actual:,"19°","9°","2014-10-04 00:00:00.000000"
7,Average:,"16°","8°","2014-10-04 00:00:00.000000"
8,Actual:,"19°","8°","2014-10-05 00:00:00.000000"
9,Average:,"15°","8°","2014-10-05 00:00:00.000000"
10,Actual:,"19°","10°","2014-10-06 00:00:00.000000"
11,Average:,"15°","8°","2014-10-06 00:00:00.000000"
12,Actual:,"17°","11°","2014-10-07 00:00:00.000000"
13,Average:,"14°","7°","2014-10-07 00:00:00.000000"
14,Actual:,"19°","11°","2014-10-08 00:00:00.000000"
15,Average:,"14°","7°","2014-10-08 00:00:00.000000"
16,Actual:,"21°","14°","2014-10-09 00:00:00.000000"
17,Average:,"14°","7°","2014-10-09 00:00:00.000000"
18,Actual:,"19°","12°","2014-10-10 00:00:00.000000"
19,Average:,"14°","7°","2014-10-10 00:00:00.000000"
20,Actual:,"16°","13°","2014-10-11 00:00:00.000000"
21,Average:,"14°","6°","2014-10-11 00:00:00.000000"
22,Actual:,"16°","12°","2014-10-12 00:00:00.000000"
23,Average:,"14°","6°","2014-10-12 00:00:00.000000"
24,Actual:,"19°","12°","2014-10-13 00:00:00.000000"
25,Average:,"13°","6°","2014-10-13 00:00:00.000000"
26,Actual:,"18°","13°","2014-10-14 00:00:00.000000"
27,Average:,"13°","6°","2014-10-14 00:00:00.000000"
28,Actual:,"18°","11°","2014-10-15 00:00:00.000000"
29,Average:,"13°","5°","2014-10-15 00:00:00.000000"
30,Actual:,"14°","8°","2014-10-16 00:00:00.000000"
31,Average:,"13°","5°","2014-10-16 00:00:00.000000"
32,Actual:,"17°","10°","2014-10-17 00:00:00.000000"
33,Average:,"13°","5°","2014-10-17 00:00:00.000000"
34,Actual:,"17°","9°","2014-10-18 00:00:00.000000"
35,Average:,"12°","5°","2014-10-18 00:00:00.000000"
36,Actual:,"22°","11°","2014-10-19 00:00:00.000000"
37,Average:,"12°","5°","2014-10-19 00:00:00.000000"
38,Actual:,"17°","12°","2014-10-20 00:00:00.000000"
39,Average:,"12°","5°","2014-10-20 00:00:00.000000"
40,Actual:,"16°","11°","2014-10-21 00:00:00.000000"
41,Average:,"12°","5°","2014-10-21 00:00:00.000000"
42,Actual:,"12°","8°","2014-10-22 00:00:00.000000"
43,Average:,"12°","6°","2014-10-22 00:00:00.000000"
44,Actual:,"11°","10°","2014-10-23 00:00:00.000000"
45,Average:,"12°","6°","2014-10-23 00:00:00.000000"
46,Actual:,"9°","7°","2014-10-24 00:00:00.000000"
47,Average:,"12°","6°","2014-10-24 00:00:00.000000"
48,Actual:,"9°","4°","2014-10-25 00:00:00.000000"
49,Average:,"12°","6°","2014-10-25 00:00:00.000000"
50,Actual:,"13°","8°","2014-10-26 00:00:00.000000"
51,Average:,"12°","6°","2014-10-26 00:00:00.000000"
52,Actual:,"16°","7°","2014-10-27 00:00:00.000000"
53,Average:,"12°","6°","2014-10-27 00:00:00.000000"
54,Actual:,"12°","3°","2014-10-28 00:00:00.000000"
55,Average:,"11°","5°","2014-10-28 00:00:00.000000"
56,Actual:,"10°","3°","2014-10-29 00:00:00.000000"
57,Average:,"11°","5°","2014-10-29 00:00:00.000000"
58,Actual:,"11°","7°","2014-10-30 00:00:00.000000"
59,Average:,"11°","5°","2014-10-30 00:00:00.000000"
60,Actual:,"14°","8°","2014-10-31 00:00:00.000000"
61,Average:,"11°","4°","2014-10-31 00:00:00.000000"
0,Actual:,"19°","9°","2014-11-01 00:00:00.000000"
1,Average:,"10°","4°","2014-11-01 00:00:00.000000"
2,Actual:,"17°","8°","2014-11-02 00:00:00.000000"
3,Average:,"10°","4°","2014-11-02 00:00:00.000000"
4,Actual:,"17°","10°","2014-11-03 00:00:00.000000"
5,Average:,"10°","4°","2014-11-03 00:00:00.000000"
6,Actual:,"15°","8°","2014-11-04 00:00:00.000000"
7,Average:,"9°","3°","2014-11-04 00:00:00.000000"
8,Actual:,"12°","8°","2014-11-05 00:00:00.000000"
9,Average:,"9°","3°","2014-11-05 00:00:00.000000"
10,Actual:,"10°","8°","2014-11-06 00:00:00.000000"
11,Average:,"9°","3°","2014-11-06 00:00:00.000000"
12,Actual:,"11°","5°","2014-11-07 00:00:00.000000"
13,Average:,"8°","3°","2014-11-07 00:00:00.000000"
14,Actual:,"13°","5°","2014-11-08 00:00:00.000000"
15,Average:,"8°","3°","2014-11-08 00:00:00.000000"
16,Actual:,"9°","4°","2014-11-09 00:00:00.000000"
17,Average:,"8°","2°","2014-11-09 00:00:00.000000"
18,Actual:,"11°","8°","2014-11-10 00:00:00.000000"
19,Average:,"7°","2°","2014-11-10 00:00:00.000000"
20,Actual:,"12°","4°","2014-11-11 00:00:00.000000"
21,Average:,"7°","2°","2014-11-11 00:00:00.000000"
22,Actual:,"12°","9°","2014-11-12 00:00:00.000000"
23,Average:,"7°","2°","2014-11-12 00:00:00.000000"
24,Actual:,"11°","10°","2014-11-13 00:00:00.000000"
25,Average:,"7°","2°","2014-11-13 00:00:00.000000"
26,Actual:,"12°","8°","2014-11-14 00:00:00.000000"
27,Average:,"7°","2°","2014-11-14 00:00:00.000000"
28,Actual:,"11°","8°","2014-11-15 00:00:00.000000"
29,Average:,"6°","2°","2014-11-15 00:00:00.000000"
30,Actual:,"11°","7°","2014-11-16 00:00:00.000000"
31,Average:,"6°","1°","2014-11-16 00:00:00.000000"
32,Actual:,"11°","5°","2014-11-17 00:00:00.000000"
33,Average:,"6°","1°","2014-11-17 00:00:00.000000"
34,Actual:,"7°","5°","2014-11-18 00:00:00.000000"
35,Average:,"6°","1°","2014-11-18 00:00:00.000000"
36,Actual:,"4°","3°","2014-11-19 00:00:00.000000"
37,Average:,"5°","1°","2014-11-19 00:00:00.000000"
38,Actual:,"6°","4°","2014-11-20 00:00:00.000000"
39,Average:,"5°","1°","2014-11-20 00:00:00.000000"
40,Actual:,"7°","4°","2014-11-21 00:00:00.000000"
41,Average:,"5°","1°","2014-11-21 00:00:00.000000"
42,Actual:,"6°","5°","2014-11-22 00:00:00.000000"
43,Average:,"5°","1°","2014-11-22 00:00:00.000000"
44,Actual:,"9°","3°","2014-11-23 00:00:00.000000"
45,Average:,"5°","1°","2014-11-23 00:00:00.000000"
46,Actual:,"9°","3°","2014-11-24 00:00:00.000000"
47,Average:,"5°","1°","2014-11-24 00:00:00.000000"
48,Actual:,"5°","2°","2014-11-25 00:00:00.000000"
49,Average:,"5°","1°","2014-11-25 00:00:00.000000"
50,Actual:,"5°","3°","2014-11-26 00:00:00.000000"
51,Average:,"5°","1°","2014-11-26 00:00:00.000000"
52,Actual:,"4°","1°","2014-11-27 00:00:00.000000"
53,Average:,"5°","1°","2014-11-27 00:00:00.000000"
54,Actual:,"2°","0°","2014-11-28 00:00:00.000000"
55,Average:,"5°","1°","2014-11-28 00:00:00.000000"
56,Actual:,"-1°","-2°","2014-11-29 00:00:00.000000"
57,Average:,"5°","1°","2014-11-29 00:00:00.000000"
58,Actual:,"0°","-2°","2014-11-30 00:00:00.000000"
59,Average:,"5°","1°","2014-11-30 00:00:00.000000"
0,Actual:,"-3°","-3°","2014-12-01 00:00:00.000000"
1,Average:,"5°","1°","2014-12-01 00:00:00.000000"
2,Actual:,"-2°","-3°","2014-12-02 00:00:00.000000"
3,Average:,"5°","1°","2014-12-02 00:00:00.000000"
4,Actual:,"0°","-3°","2014-12-03 00:00:00.000000"
5,Average:,"5°","1°","2014-12-03 00:00:00.000000"
6,Actual:,"4°","-1°","2014-12-04 00:00:00.000000"
7,Average:,"5°","1°","2014-12-04 00:00:00.000000"
8,Actual:,"3°","1°","2014-12-05 00:00:00.000000"
9,Average:,"4°","0°","2014-12-05 00:00:00.000000"
10,Actual:,"6°","2°","2014-12-06 00:00:00.000000"
11,Average:,"4°","0°","2014-12-06 00:00:00.000000"
12,Actual:,"5°","-1°","2014-12-07 00:00:00.000000"
13,Average:,"4°","0°","2014-12-07 00:00:00.000000"
14,Actual:,"6°","1°","2014-12-08 00:00:00.000000"
15,Average:,"4°","-1°","2014-12-08 00:00:00.000000"
16,Actual:,"4°","-2°","2014-12-09 00:00:00.000000"
17,Average:,"4°","-1°","2014-12-09 00:00:00.000000"
18,Actual:,"4°","-1°","2014-12-10 00:00:00.000000"
19,Average:,"4°","-1°","2014-12-10 00:00:00.000000"
20,Actual:,"6°","2°","2014-12-11 00:00:00.000000"
21,Average:,"4°","-1°","2014-12-11 00:00:00.000000"
22,Actual:,"10°","2°","2014-12-12 00:00:00.000000"
23,Average:,"3°","-1°","2014-12-12 00:00:00.000000"
24,Actual:,"7°","3°","2014-12-13 00:00:00.000000"
25,Average:,"3°","-1°","2014-12-13 00:00:00.000000"
26,Actual:,"5°","2°","2014-12-14 00:00:00.000000"
27,Average:,"3°","-1°","2014-12-14 00:00:00.000000"
28,Actual:,"6°","1°","2014-12-15 00:00:00.000000"
29,Average:,"3°","-1°","2014-12-15 00:00:00.000000"
30,Actual:,"6°","2°","2014-12-16 00:00:00.000000"
31,Average:,"3°","-2°","2014-12-16 00:00:00.000000"
32,Actual:,"5°","1°","2014-12-17 00:00:00.000000"
33,Average:,"2°","-2°","2014-12-17 00:00:00.000000"
34,Actual:,"12°","3°","2014-12-18 00:00:00.000000"
35,Average:,"2°","-2°","2014-12-18 00:00:00.000000"
36,Actual:,"12°","5°","2014-12-19 00:00:00.000000"
37,Average:,"2°","-2°","2014-12-19 00:00:00.000000"
38,Actual:,"7°","1°","2014-12-20 00:00:00.000000"
39,Average:,"2°","-2°","2014-12-20 00:00:00.000000"
40,Actual:,"7°","3°","2014-12-21 00:00:00.000000"
41,Average:,"2°","-2°","2014-12-21 00:00:00.000000"
42,Actual:,"12°","6°","2014-12-22 00:00:00.000000"
43,Average:,"2°","-2°","2014-12-22 00:00:00.000000"
44,Actual:,"11°","9°","2014-12-23 00:00:00.000000"
45,Average:,"2°","-2°","2014-12-23 00:00:00.000000"
46,Actual:,"9°","4°","2014-12-24 00:00:00.000000"
47,Average:,"2°","-2°","2014-12-24 00:00:00.000000"
48,Actual:,"7°","2°","2014-12-25 00:00:00.000000"
49,Average:,"2°","-2°","2014-12-25 00:00:00.000000"
50,Actual:,"1°","-5°","2014-12-26 00:00:00.000000"
51,Average:,"2°","-2°","2014-12-26 00:00:00.000000"
52,Actual:,"-2°","-6°","2014-12-27 00:00:00.000000"
53,Average:,"2°","-2°","2014-12-27 00:00:00.000000"
54,Actual:,"-3°","-8°","2014-12-28 00:00:00.000000"
55,Average:,"2°","-2°","2014-12-28 00:00:00.000000"
56,Actual:,"-2°","-7°","2014-12-29 00:00:00.000000"
57,Average:,"2°","-2°","2014-12-29 00:00:00.000000"
58,Actual:,"1°","-8°","2014-12-30 00:00:00.000000"
59,Average:,"2°","-2°","2014-12-30 00:00:00.000000"
60,Actual:,"4°","-1°","2014-12-31 00:00:00.000000"
61,Average:,"2°","-2°","2014-12-31 00:00:00.000000"
