ID,Borrower Lat,Borrower Lng,Lender Lat,Lender Lng
159,51.543,-0.183,51.523,-0.045
160,51.521,-0.082,51.542,-0.395
161,51.543,-0.183,52.966,-2.817
162,51.291,-0.774,52.228,0.1413
163,51.559,-0.059,51.461,-0.115
164,51.503,-0.102,51.544,0.0043
165,51.515,-0.071,51.447,0.0123
166,51.503,-0.102,51.544,0.0043
167,51.388,-0.118,51.556,-0.138
168,37.043,25.249,51.463,-0.107
169,37.043,25.249,51.463,-0.107
170,51.588,-0.248,51.628,-0.247
171,51.484,0.0958,51.489,0.064
172,53.36,-6.315,51.509,-0.145
173,51.557,-0.074,51.489,-0.1
174,51.588,-0.248,51.628,-0.247
175,51.579,-0.03,51.498,-0.021
176,51.504,-0.123,51.541,-0.064
177,51.48,-0.093,51.525,-0.082
178,51.48,-0.093,51.525,-0.082
179,51.551,-0.109,51.534,-0.113
180,51.649,-0.155,51.498,-0.021
181,51.524,-0.107,51.519,-0.125
182,51.524,-0.107,51.518,-0.135
183,51.585,-0.079,51.549,-0.153
184,51.553,-0.205,51.549,-0.21
185,51.595,-0.251,51.52,-0.096
186,51.526,-0.107,51.523,-0.124
187,51.526,-0.107,51.523,-0.124
188,51.502,-0.11,51.52,-0.119
189,51.711,-0.112,51.581,-0.112
190,51.524,-0.075,51.437,-0.183
191,51.54,-0.073,51.536,-0.071
192,51.54,-0.073,51.536,-0.071
193,64.148,-21.88,51.473,-0.056
194,51.519,-0.098,51.52,-0.094
195,50.837,-0.172,51.477,-0.143
196,52.389,-1.467,51.551,-0.075
197,51.473,-0.057,51.477,-0.143
198,51.532,-0.096,51.511,-0.139
199,51.535,-0.056,51.521,-0.011
200,51.556,-0.066,51.515,-0.129
201,51.532,-0.096,51.532,-0.096
202,52.405,-0.07,51.523,-0.045
203,51.552,-0.073,50.991,-3.097
204,51.559,-0.059,51.461,-0.115
205,51.51,-0.142,51.519,-0.042
206,51.51,-0.142,51.519,-0.042
207,51.524,-0.075,51.437,-0.183
208,51.532,-0.096,51.554,-0.237
209,50.826,-0.156,51.525,-0.082
210,51.476,0.0192,51.487,-0.097
211,51.606,-0.125,51.424,-0.058
212,51.543,-0.188,51.531,-0.199
213,51.482,-0.133,51.528,-0.09
214,51.542,-0.059,51.557,-0.088
215,51.495,0.0124,51.43,-0.093
216,51.58,-0.003,51.557,-0.038
217,51.531,-0.126,51.518,-0.135
218,51.519,-0.048,51.518,-0.02
219,51.53,-0.031,48.869,2.359
220,51.53,-0.031,51.549,-0.061
221,51.588,-0.035,51.532,-0.096
222,51.505,-0.098,51.487,-0.097
223,51.576,-0.206,51.567,-0.129
224,50.392,-4.134,51.509,-0.145
225,50.392,-4.134,51.509,-0.145
226,50.392,-4.134,51.509,-0.145
227,51.489,-0.222,51.424,-0.058
228,51.517,-0.12,51.57,-0.095
229,51.519,-0.171,51.553,-0.108
230,51.537,-0.486,51.525,-0.129
231,51.532,-0.088,51.532,-0.088
232,51.552,-0.073,51.536,-0.203
233,51.552,-0.073,51.536,-0.203
234,51.495,-0.066,51.509,-0.145
235,51.417,-0.28,51.487,-0.147
236,51.585,-0.062,51.509,-0.145
237,51.524,-0.075,51.516,-0.132
238,57.682,11.909,51.556,-0.138
239,51.51,-0.117,51.441,-0.128
240,51.542,-0.047,51.526,-0.098
241,51.524,0.06,51.525,-0.082
242,51.524,-0.075,51.495,-0.133
243,51.51,-0.117,51.441,-0.128
244,51.496,-0.025,51.547,-0.006
245,51.572,-0.092,51.547,0.0074
246,50.729,-1.846,51.513,-0.115
247,50.729,-1.846,51.513,-0.115
248,50.729,-1.846,51.513,-0.115
249,50.729,-1.846,51.525,-0.082
250,50.729,-1.846,51.525,-0.082
251,51.711,-0.112,51.593,-0.063
252,51.544,0.0041,51.52,-0.101
253,51.532,-0.096,51.586,-0.253
254,51.496,-0.025,51.424,-0.058
255,51.388,-0.118,51.557,-0.038
256,51.375,-0.093,51.52,-0.096
257,51.542,-0.004,51.509,-0.067
258,51.532,-0.096,51.529,-0.073
259,52.365,0.8755,51.569,-0.001
260,52.365,0.8755,51.571,-0.123
261,50.729,-1.846,51.513,-0.115
262,50.729,-1.846,51.525,-0.082
263,51.474,0.0465,51.491,-0.093
264,51.477,-0.081,51.889,0.2615
265,51.517,-0.041,51.541,-0.088
266,51.532,-0.088,51.532,-0.088
267,51.54,-0.208,42.955,9.4486
268,51.474,0.0465,51.491,-0.093
269,51.532,-0.088,51.536,-0.071
270,51.443,-0.137,51.518,-0.135
271,51.517,-0.155,51.466,-0.042
272,51.513,-0.217,51.519,-0.125
273,51.513,-0.217,51.524,-0.302
274,51.517,-0.155,51.466,-0.042
275,51.571,-0.113,51.519,-0.099
276,51.626,-0.102,51.586,-0.056
277,51.496,-0.088,51.512,-0.066
278,51.415,-0.075,51.52,-0.096
279,51.496,-0.088,51.512,-0.066
280,51.59,-0.093,51.553,-0.073
281,51.422,-0.161,53.481,-2.233
282,51.626,-0.102,51.551,-0.041
283,51.626,-0.102,51.551,-0.041
284,51.53,-0.146,51.518,-0.135
285,56.952,24.122,51.509,-0.145
286,51.565,0.1404,51.437,0.0731
287,51.415,-0.075,51.487,-0.097
288,51.471,0.0657,51.424,-0.058
289,51.53,-0.285,51.537,-0.206
290,51.559,-0.092,51.532,-0.096
291,51.626,-0.102,51.546,-0.104
292,51.522,-0.398,51.497,-0.212
293,51.435,-0.159,51.514,-0.109
294,51.482,-0.133,51.487,-0.097
295,51.481,-0.082,51.504,-0.086
296,52.408,-1.542,51.523,-0.21
297,51.492,-0.1,51.585,-0.116
298,51.569,-0.141,51.557,-0.103
299,51.518,-0.628,51.532,-0.096
300,51.53,-0.044,51.534,-0.064
301,51.508,-0.262,51.464,-0.214
302,51.579,-0.03,51.496,0.1159
303,51.505,-0.089,51.55,0.0323
304,51.505,-0.089,51.509,-0.145
305,51.579,-0.071,51.534,-0.064
306,51.579,-0.071,51.534,-0.064
307,51.579,-0.071,51.534,-0.064
308,51.579,-0.071,51.534,-0.064
309,51.579,-0.071,51.534,-0.064
310,51.5,-0.018,51.497,-0.017
311,51.524,-0.076,51.606,-0.125
312,51.524,-0.076,51.606,-0.125
